EmployeeID,Age,Gender,Department,JobRole,MaritalStatus,YearsAtCompany,Attrition,YearsSinceLastPromotion,JobSatisfaction,JobInvolvement,YearsWithCurrManager,PerformanceRating,MonthlyIncome
1,35,Female,Marketing,Software Engineer,Single,13,No,11,3,4,8,4,6131
2,25,Female,IT,HR Specialist,Single,7,No,10,2,1,7,4,13634
3,45,Female,Marketing,Research Scientist,Divorced,25,Yes,12,3,2,11,2,8347
4,29,Male,IT,HR Specialist,Divorced,6,No,1,4,3,10,2,12778
5,34,Male,IT,Research Scientist,Married,19,No,13,4,4,8,1,19883
6,28,Male,HR,Research Scientist,Single,27,No,7,3,2,3,1,12588
7,47,Female,Marketing,Marketing Coordinator,Single,28,Yes,8,3,3,14,2,15721
8,44,Female,Finance,Research Scientist,Divorced,22,No,8,1,1,3,3,6952
9,51,Male,R&D,Sales Executive,Divorced,26,No,2,3,3,12,2,9961
10,40,Male,Sales,Marketing Coordinator,Divorced,4,No,6,4,4,12,4,9820
11,38,Female,Sales,Software Engineer,Divorced,27,No,6,3,2,10,4,13048
12,27,Male,IT,Software Engineer,Divorced,7,No,12,1,4,8,1,19405
13,31,Male,HR,Research Scientist,Divorced,20,No,0,3,4,9,1,10457
14,41,Male,Sales,Manager,Married,22,No,4,1,1,0,3,4154
15,31,Female,HR,Research Scientist,Single,19,No,2,3,4,11,1,12333
16,35,Male,Marketing,Data Analyst,Married,7,Yes,10,2,2,4,1,11804
17,32,Male,Sales,Sales Executive,Single,0,No,0,4,4,6,4,13025
18,48,Female,R&D,Research Scientist,Single,7,Yes,5,1,4,4,1,17320
19,52,Female,HR,Sales Executive,Single,25,No,1,2,3,4,1,9298
20,41,Female,Finance,HR Specialist,Single,4,No,1,1,2,4,3,7095
21,27,Male,IT,Sales Executive,Married,22,No,12,2,1,14,4,16047
22,32,Female,Marketing,Data Analyst,Divorced,28,Yes,5,3,1,13,3,3912
23,31,Male,Sales,Manager,Married,18,Yes,14,2,4,3,3,13932
24,35,Male,Marketing,Financial Advisor,Divorced,13,No,13,1,1,6,4,7048
25,26,Female,IT,Financial Advisor,Single,16,Yes,12,3,4,4,4,8044
26,54,Male,Finance,Sales Executive,Married,17,Yes,7,3,1,6,2,10671
27,49,Female,R&D,Software Engineer,Single,26,No,5,2,3,0,4,15944
28,52,Female,HR,Financial Advisor,Married,12,No,1,4,1,1,3,8933
29,28,Male,Marketing,Sales Executive,Married,16,Yes,13,4,2,10,1,14823
30,58,Female,IT,Financial Advisor,Single,3,Yes,13,2,3,2,1,9057
31,45,Female,R&D,Marketing Coordinator,Divorced,20,No,9,2,4,1,1,13188
32,57,Male,IT,Marketing Coordinator,Divorced,12,Yes,4,2,4,0,4,12991
33,42,Female,HR,Software Engineer,Divorced,0,No,3,1,1,11,2,3971
34,59,Female,HR,Software Engineer,Divorced,26,No,14,4,1,4,1,3104
35,27,Female,Marketing,Financial Advisor,Married,15,No,4,4,2,13,1,13347
36,22,Male,Finance,HR Specialist,Married,15,No,0,2,2,1,1,17889
37,37,Female,Finance,HR Specialist,Divorced,9,No,8,1,1,8,4,7759
38,20,Male,HR,Sales Executive,Single,26,No,7,1,4,9,3,17954
39,31,Male,HR,Financial Advisor,Divorced,11,No,12,4,3,8,1,18168
40,48,Male,HR,Data Analyst,Married,4,No,14,1,1,0,1,10243
41,41,Female,Finance,Software Engineer,Single,23,Yes,14,1,4,7,1,15475
42,23,Female,R&D,Research Scientist,Single,11,No,5,4,1,6,3,15627
43,42,Male,HR,Marketing Coordinator,Married,8,No,7,4,4,0,4,14837
44,46,Male,IT,HR Specialist,Divorced,9,No,9,1,1,6,2,5019
45,53,Male,Sales,Financial Advisor,Married,9,Yes,3,3,2,11,4,17054
46,38,Female,R&D,Manager,Divorced,3,No,2,1,4,13,4,16212
47,41,Female,IT,Data Analyst,Single,16,No,4,2,1,14,1,4948
48,27,Male,R&D,Financial Advisor,Divorced,11,No,14,3,1,14,3,15593
49,54,Female,Marketing,Financial Advisor,Married,22,No,5,1,1,9,4,14526
50,33,Male,IT,Data Analyst,Married,8,No,12,3,2,5,3,14837
51,36,Male,Marketing,Manager,Divorced,14,Yes,12,3,4,3,4,19593
52,24,Female,R&D,Software Engineer,Married,12,Yes,4,3,3,6,2,16364
53,58,Male,Sales,Sales Executive,Married,25,No,8,3,3,5,3,16823
54,31,Male,Finance,Financial Advisor,Divorced,12,Yes,9,3,1,6,3,3583
55,42,Female,HR,Research Scientist,Single,18,No,0,3,2,1,3,13562
56,54,Female,Sales,HR Specialist,Divorced,9,No,10,1,4,2,1,4359
57,22,Female,IT,Sales Executive,Single,9,No,0,3,4,14,2,7907
58,56,Female,HR,Financial Advisor,Married,19,Yes,11,3,2,13,3,6603
59,43,Female,HR,Sales Executive,Married,4,No,0,2,4,12,3,13040
60,55,Male,R&D,Financial Advisor,Married,28,No,12,4,4,10,1,7842
61,28,Male,R&D,Marketing Coordinator,Single,0,No,8,1,2,1,2,7931
62,42,Female,Sales,Research Scientist,Single,4,Yes,8,2,2,8,2,13629
63,53,Female,Sales,Financial Advisor,Married,2,No,13,1,2,10,3,3349
64,42,Female,Sales,HR Specialist,Married,11,No,4,3,3,10,3,5981
65,25,Female,Finance,Manager,Single,29,No,5,3,4,13,1,5448
66,25,Male,HR,Software Engineer,Divorced,24,Yes,10,2,3,7,1,16737
67,25,Male,Sales,HR Specialist,Divorced,11,No,1,1,2,5,3,4433
68,22,Female,IT,Data Analyst,Married,10,No,12,3,3,5,3,7621
69,46,Male,Marketing,Marketing Coordinator,Married,13,No,8,1,3,1,1,9067
70,49,Male,Sales,Software Engineer,Divorced,14,No,5,4,1,2,3,8556
71,46,Male,HR,Sales Executive,Married,13,Yes,8,4,3,2,4,5170
72,38,Female,R&D,Software Engineer,Married,10,No,2,2,2,9,2,15357
73,32,Female,Sales,Manager,Single,19,No,10,3,1,0,1,14462
74,21,Female,Marketing,Manager,Married,0,No,14,1,4,0,2,17494
75,28,Female,IT,Sales Executive,Single,21,No,3,4,1,7,3,18914
76,43,Female,Marketing,Marketing Coordinator,Married,8,No,0,2,2,4,1,9920
77,22,Male,IT,HR Specialist,Married,23,No,2,4,1,1,3,8522
78,44,Female,IT,Research Scientist,Single,24,No,12,3,2,0,3,4612
79,28,Male,R&D,Software Engineer,Married,10,No,1,1,1,11,3,4099
80,56,Male,Finance,Financial Advisor,Married,11,No,8,1,1,3,1,6747
81,23,Male,Finance,Data Analyst,Divorced,26,No,12,1,3,8,4,8520
82,48,Male,Marketing,HR Specialist,Married,22,Yes,11,3,4,9,4,15059
83,33,Male,R&D,Research Scientist,Single,22,No,6,3,1,10,3,14836
84,49,Female,IT,HR Specialist,Divorced,4,Yes,2,3,4,1,1,7922
85,21,Male,Finance,Research Scientist,Divorced,2,No,11,4,3,5,2,8313
